tamano	exacto	metaheu	mejora
Pequeñas	14.2	14.2	Si
Pequeñas	28.4	28.4	Si
Pequeñas	10.8	14.2	No
Pequeñas	8	8	Si
Pequeñas	38	38	Si
Pequeñas	38	38	Si
Pequeñas	86.2	86.2	Si
Pequeñas	14.2	14.2	Si
Pequeñas	14.2	14.2	Si
Pequeñas	17.6	17.6	Si
Pequeñas	14.2	14.2	Si
Pequeñas	14.2	14.2	Si
Pequeñas	17.6	17.6	Si
Pequeñas	28.4	28.4	Si
Pequeñas	28.4	28.4	Si
Pequeñas	28.4	28.4	Si
Pequeñas	28.4	28.4	Si
Pequeñas	28.4	28.4	Si
Pequeñas	28.4	28.4	Si
Pequeñas	10.8	10.8	Si
Pequeñas	10.8	10.8	Si
Pequeñas	14.2	14.2	Si
Pequeñas	10.8	10.8	Si
Pequeñas	10.8	10.8	Si
Pequeñas	14.2	14.2	Si
Pequeñas	8	8	Si
Pequeñas	8	8	Si
Pequeñas	8	8	Si
Pequeñas	8	8	Si
Pequeñas	8	8	Si
Pequeñas	8	8	Si
Pequeñas	38	38	Si
Pequeñas	38	38	Si
Pequeñas	38	38	Si
Pequeñas	38	38	Si
Pequeñas	38	38	Si
Pequeñas	38	38	Si
Pequeñas	147.4	133.8	Si
Pequeñas	140.6	137.2	Si
Pequeñas	144	140.6	Si
Pequeñas	147.4	140.6	Si
Pequeñas	150.8	137.2	Si
Pequeñas	140.6	140.6	Si
Pequeñas	38	38	Si
Pequeñas	34.6	34.6	Si
Pequeñas	34.6	34.6	Si
Pequeñas	38	38	Si
Pequeñas	38	38	Si
Pequeñas	38	38	Si
Pequeñas	127	113.4	Si
Pequeñas	127	127	Si
Pequeñas	123.6	120.2	Si
Pequeñas	144	127	Si
Pequeñas	144	113.4	Si
Pequeñas	127	123.6	Si
Medianas1	24.49	22.35	Si
Medianas1	21.73	20.2	Si
Medianas1	17.2	17.2	Si
Medianas1	22.34	22.35	Si
Medianas1	22.74	20.2	Si
Medianas1	17.2	17.2	Si
Medianas1	22.6	22.6	Si
Medianas1	19.2	19.2	Si
Medianas1	25.6	25.6	Si
Medianas1	24.74	22.6	Si
Medianas1	25.6	25.6	Si
Medianas1	29.8	25.6	Si
Medianas1	34.68	31.4	Si
Medianas1	34.8	31.4	Si
Medianas1	27.6	27.6	Si
Medianas1	31.8	31.4	Si
Medianas1	38.2	31.4	Si
Medianas1	28	27.6	Si
Medianas1	33.4	33.4	Si
Medianas1	33.8	33.4	Si
Medianas1	36.8	33.4	Si
Medianas1	37.2	30	Si
Medianas1	39.68	33.4	Si
Medianas1	33.8	33.4	Si
Medianas1	23.88	22.35	Si
Medianas1	26.26	21.1	Si
Medianas1	18.95	18.95	Si
Medianas1	27.28	23.88	Si
Medianas1	22.34	21.1	Si
Medianas1	18.94	20.7	No
Medianas1	22.6	22.6	Si
Medianas1	22.6	22.6	Si
Medianas1	26.81	24.35	Si
Medianas1	33.93	24.75	Si
Medianas1	20.94	20.95	Si
Medianas1	26	24.13	Si
Medianas1	24.6	24.6	Si
Medianas1	23.34	23.35	Si
Medianas1	21.2	21.2	Si
Medianas1	24.6	24.6	Si
Medianas1	22.94	22.95	Si
Medianas1	23.34	23.35	Si
Medianas1	21.95	21.95	Si
Medianas1	24.94	24.95	Si
Medianas1	24.94	24.95	Si
Medianas1	23.2	23.2	Si
Medianas1	24.94	24.95	Si
Medianas1	20.2	21.55	No
Medianas1	15.2	15.2	Si
Medianas1	53.06	54.28	No
Medianas1	72.09	54.62	Si
Medianas1	52.11	54.63	No
Medianas1	64.29	51.93	Si
Medianas1	49.15	55.21	No
Medianas1	57.89	48.3	Si
Medianas1	79.98	54.8	Si
Medianas1	96.53	51.8	Si
Medianas1	68.81	50.68	Si
Medianas1	83.94	52.94	Si
Medianas1	139.48	110.69	Si
Medianas1	57.79	46.14	Si
Medianas1	50.8	50.06	Si
Medianas1	60.14	52.03	Si
Medianas1	100.03	75.17	Si
Medianas1	120.12	68.8	Si
Medianas1	72.83	58.7	Si
Medianas1	59.13	52.75	Si
Medianas1	86.94	40.48	Si
Medianas1	70.76	51.7	Si
Medianas1	147.17	55.93	Si
Medianas1	147	62.1	Si
Medianas1	148.74	61.08	Si
Medianas1	28.8	43.23	No
Medianas1	28.8	46.62	No
Medianas1	28.8	42.33	No
Medianas1	28.8	44.76	No
Medianas1	28.8	46.11	No
Medianas2	73.52	50.47	Si
Medianas2	161.86	47.68	Si
Medianas2	232.61	48.63	Si
Medianas2	99.69	51.29	Si
Medianas2	200.88	58.05	Si
Medianas2	130.11	54.95	Si
Medianas2	294.13	58.85	Si
Medianas2	135.26	69.2	Si
Medianas2	193.58	70.38	Si
Medianas2	127.42	60.13	Si
Medianas2	235.39	64.14	Si
Medianas2	187.37	63.75	Si
Medianas2	204.02	79.85	Si
Medianas2	107.06	77.2	Si
Medianas2	236.81	70.5	Si
Medianas2	81.95	70.28	Si
Medianas2	202.3	64.5	Si
Medianas2	188.89	64.1	Si
Medianas2	219.55	44.82	Si
Medianas2	206.02	47.4	Si
Medianas2	136.38	50.38	Si
Medianas2	124.12	49.43	Si
Medianas2	208	45.35	Si
Medianas2	170.11	46.25	Si
Medianas2	303.93	49.5	Si
Medianas2	292.76	55.05	Si
Medianas2	166.49	56.08	Si
Medianas2	149.47	56.7	Si
Medianas2	115.64	50.3	Si
Medianas2	190.15	51.73	Si
Medianas2	176.39	59.95	Si
Medianas2	342.24	56.95	Si
Medianas2	360.76	60.45	Si
Medianas2	254.57	58.93	Si
Medianas2	274.62	58.7	Si
Medianas2	385.88	57.55	Si
Medianas2	397.7	68.93	Si
Medianas2	190.81	66.25	Si
Medianas2	153.1	62.56	Si
Medianas2	344.25	62.75	Si
Medianas2	231.1	53.28	Si
Medianas2	238.04	53.28	Si
Medianas2	69.01	39.21	Si
Medianas2	48.28	39.55	Si
Medianas2	58.14	40.45	Si
Medianas2	27.55	35.7	No
Medianas2	96.53	40.42	Si
Medianas2	73.26	43.72	Si
Medianas2	294.19	109.08	Si
Grandes	465.482	140.94	Si
Grandes	517.16	138.14	Si
Grandes	937.8	149.86	Si
Grandes	198.81	111.69	Si
