Cd.México	Acapulco	Aguascalientes	Atlacomulco	Campeche	Cancún	Cd.Acuña	Cd.Jiménez	Cd.Juárez	Chetumal	Chihuahua	Coatzacoalcos	Colima	Córdoba	Cortazar	Cuernavaca	Culiacán	Durango	Esperanza	Fresnillo	Guadalajara	Hermosillo	Huatabampo	Iguala	IzúcarDeMatamoros	Jacona	LaPaz	León	Matamoros	Mérida	Mexicali	Monclova	Monterrey	Morelia	Oaxaca	Pachuca	Puebla	Querétaro	Saltillo	SanAndrésTuxtla	SanLuisPotosí	Tampico	Tapachula	Tehuantepec	Tepatitlán	Tepic	Tijuana	Tlaxcala	Toluca	Torreón	Tulancingo	TuxtlaGutiérrez	Veracruz	Villahermosa	Zacatecas
    102.653	    104.669	    102.634	    103.530	    103.675	    103.420	    104.811	    103.718	    102.826	    104.037	    103.174	    102.823	    102.455	    102.653	    102.836	    102.687	    105.562	    102.636	    105.216	    103.694	    102.078	    106.252	    106.207	    102.932	    103.207	    103.148	    104.974	    102.434	    103.565	    103.322	    106.065	    103.525	    103.548	    101.889	    103.102	    102.528	    103.410	    103.735	    102.395	    103.574	    102.938	    103.436	    102.816	    104.438	    102.502	    102.258	    101.579	    102.863	    102.327	    104.156	    102.795	    102.075	    103.307	    102.936	    102.082
    102.513	    104.136	    102.657	    102.470	    103.918	    104.057	    104.324	    104.221	    102.716	    104.306	    103.564	    102.658	    102.561	    102.327	    102.877	    102.549	    105.678	    102.951	    105.416	    103.216	    102.468	    106.111	    106.403	    102.463	    102.543	    103.245	    105.310	    102.357	    103.939	    103.576	    106.258	    103.621	    103.791	    101.599	    102.847	    102.366	    103.073	    103.271	    102.670	    103.225	    103.167	    103.507	    102.133	    104.806	    102.600	    102.606	    101.428	    102.318	    102.420	    104.194	    102.813	    102.103	    103.273	    103.063	    102.204
    102.859	    103.991	    102.931	    103.017	    104.504	    104.421	    104.934	    104.412	    103.123	    104.750	    104.200	    102.953	    103.201	    103.054	    102.956	    102.912	    106.238	    103.197	    105.804	    103.313	    103.275	    106.577	    106.785	    102.551	    102.681	    103.576	    106.251	    102.754	    104.159	    104.221	    106.794	    103.984	    104.090	    102.131	    102.978	    102.813	    103.587	    103.556	    103.113	    103.295	    103.424	    103.529	    102.446	    105.477	    103.157	    102.860	    102.218	    102.824	    102.461	    104.429	    103.056	    102.496	    103.412	    103.551	    102.455
    103.291	    104.210	    102.781	    103.295	    103.794	    103.973	    102.026	    104.733	    103.370	    103.880	    104.539	    102.245	    103.339	    103.300	    103.055	    103.523	    106.521	    103.361	    105.969	    103.427	    103.646	    106.768	    106.726	    102.375	    102.980	    103.568	    106.562	    102.919	    104.242	    103.484	    106.913	    102.521	    102.993	    102.067	    103.374	    103.171	    103.751	    103.993	    103.546	    103.818	    103.565	    101.744	    102.902	    104.514	    103.795	    102.909	    102.656	    102.912	    102.758	    103.569	    103.469	    102.887	    102.399	    102.766	    102.443
    103.523	    104.575	    102.989	    104.115	    104.010	    103.888	    101.822	    103.604	    101.501	    104.073	    103.399	    102.249	    102.983	    103.424	    102.799	    103.493	    102.910	    103.470	    101.842	    103.471	    103.827	    102.338	    103.074	    102.653	    102.866	    103.415	    103.864	    103.132	    102.458	    103.596	    101.684	    102.737	    102.945	    102.363	    103.278	    103.213	    104.078	    104.194	    103.394	    104.301	    103.468	    101.941	    102.994	    104.989	    103.796	    102.957	    102.418	    102.904	    102.727	    103.552	    103.597	    102.772	    102.529	    102.620	    102.472
    103.741	    104.452	    103.079	    103.911	    103.929	    104.137	    101.594	    103.244	    101.840	    103.978	    103.302	    102.409	    103.132	    103.662	    102.377	    103.624	    102.812	    103.486	    102.025	    103.088	    103.893	    102.404	    103.341	    102.790	    102.549	    103.585	    104.139	    103.171	    102.471	    103.689	    101.582	    102.932	    102.998	    102.176	    103.473	    103.297	    104.303	    104.471	    103.270	    104.212	    103.537	    101.736	    102.867	    105.350	    104.041	    102.758	    102.677	    102.941	    102.423	    103.481	    103.863	    102.758	    102.403	    102.375	    102.261
    104.079	    105.020	    103.796	    104.272	    104.288	    104.715	    101.907	    103.733	    102.018	    104.368	    103.571	    102.671	    103.659	    103.815	    102.445	    103.761	    103.213	    103.908	    102.426	    103.743	    103.993	    102.909	    104.062	    103.433	    103.323	    104.198	    104.524	    103.747	    102.911	    104.084	    101.735	    103.117	    103.762	    102.718	    104.338	    103.399	    104.629	    104.585	    103.788	    104.644	    104.160	    102.381	    103.125	    106.702	    104.145	    103.095	    102.851	    103.254	    102.503	    104.118	    103.650	    102.837	    102.769	    103.551	    102.781
    103.817	    104.465	    103.945	    103.256	    104.315	    104.555	    101.906	    103.596	    102.260	    104.628	    103.735	    102.994	    103.688	    103.873	    102.779	    103.475	    103.514	    104.086	    102.943	    103.655	    104.003	    103.157	    104.283	    103.354	    102.958	    104.419	    104.472	    104.115	    103.166	    104.136	    101.978	    103.354	    103.814	    102.853	    104.069	    103.023	    104.355	    104.913	    103.700	    104.441	    103.969	    102.570	    103.700	    106.785	    104.134	    103.188	    102.964	    103.014	    102.386	    104.195	    103.016	    103.160	    102.793	    103.973	    103.029
    104.134	    104.682	    104.220	    103.465	    104.455	    105.008	    102.463	    104.016	    102.713	    104.826	    104.211	    103.150	    103.947	    104.002	    103.521	    103.668	    103.915	    104.578	    102.897	    104.183	    104.124	    103.385	    104.175	    103.271	    103.045	    104.562	    104.511	    104.624	    103.437	    104.400	    101.921	    103.536	    104.038	    102.998	    104.038	    103.521	    104.743	    105.326	    104.116	    104.339	    104.299	    102.765	    103.730	    106.680	    104.356	    103.563	    103.281	    103.421	    102.674	    104.623	    103.236	    103.375	    103.205	    103.951	    103.590
    104.372	    105.188	    104.730	    103.337	    106.137	    106.201	    105.961	    104.087	    102.915	    106.383	    104.561	    104.503	    104.201	    104.425	    103.852	    104.099	    104.178	    105.120	    103.038	    104.624	    104.543	    103.559	    104.496	    103.966	    103.661	    104.609	    104.974	    104.640	    103.929	    105.715	    101.952	    105.172	    105.636	    103.314	    104.363	    104.057	    105.642	    105.907	    104.384	    105.067	    104.532	    104.882	    104.258	    107.525	    104.863	    103.936	    103.360	    103.745	    102.910	    105.872	    103.485	    103.647	    104.720	    105.790	    104.207
