Cd.México	Acapulco	Aguascalientes	Atlacomulco	Campeche	Cancún	Cd.Acuña	Cd.Jiménez	Cd.Juárez	Chetumal	Chihuahua	Coatzacoalcos	Colima	Córdoba	Cortazar	Cuernavaca	Culiacán	Durango	Esperanza	Fresnillo	Guadalajara	Hermosillo	Huatabampo	Iguala	IzúcarDeMatamoros	Jacona	LaPaz	León	Matamoros	Mérida	Mexicali	Monclova	Monterrey	Morelia	Oaxaca	Pachuca	Puebla	Querétaro	Saltillo	SanAndrésTuxtla	SanLuisPotosí	Tampico	Tapachula	Tehuantepec	Tepatitlán	Tepic	Tijuana	Tlaxcala	Toluca	Torreón	Tulancingo	TuxtlaGutiérrez	Veracruz	Villahermosa	Zacatecas
86.159	87.659	86.612	-	87.091	-	89.736	88.399	88.152	90.240	87.247	-	87.600	87.370	85.259	87.189	94.356	85.376	-	86.301	86.931	90.736	96.368	86.073	-	85.526	91.197	85.703	86.405	87.575	91.804	88.403	89.005	87.066	86.699	-	86.895	84.547	-	88.643	87.169	88.785	88.026	89.828	82.297	86.855	81.936	86.915	86.315	86.918	85.534	-	88.889	89.383	-
86.301	87.705	86.721	-	87.217	-	89.546	88.601	88.307	90.318	87.521	-	87.849	87.449	85.350	87.223	94.610	85.472	-	86.175	87.361	91.148	96.317	86.703	-	85.641	91.236	86.128	86.539	87.661	91.770	88.362	89.297	87.257	86.773	-	87.079	84.882	-	88.635	87.254	88.870	87.483	89.671	82.412	86.929	82.610	86.820	86.453	87.096	85.503	-	89.068	89.588	-
86.537	88.161	86.893	-	87.323	-	90.414	88.750	88.955	90.528	87.744	-	87.980	87.568	85.605	87.291	94.914	86.308	-	86.212	87.461	91.239	96.150	87.456	-	86.191	91.401	86.317	87.501	87.879	94.797	88.654	89.523	87.526	87.089	-	87.336	85.298	-	88.515	87.242	88.947	87.947	89.838	82.899	87.277	84.491	87.265	86.545	87.165	85.736	-	89.349	89.840	-
86.611	88.099	86.950	-	86.508	-	84.616	88.642	89.128	89.449	87.654	-	87.994	87.783	85.853	87.392	94.907	86.726	-	86.356	87.458	91.257	96.687	86.946	-	86.331	91.405	86.757	87.555	86.850	94.082	87.295	88.636	87.494	87.221	-	87.554	84.983	-	88.791	87.483	88.011	88.046	89.411	83.419	87.161	84.266	87.376	86.597	86.716	85.884	-	88.415	88.962	-
86.641	87.776	86.930	-	86.675	-	85.037	88.169	87.588	89.609	87.225	-	87.664	87.765	85.993	87.349	87.400	86.709	-	86.257	87.386	88.060	87.752	87.000	-	85.969	88.402	86.810	85.810	86.824	86.855	87.568	88.588	87.465	87.154	-	87.354	84.954	-	88.773	87.284	88.058	88.504	89.234	83.712	87.068	84.476	86.974	86.702	86.438	85.754	-	88.343	89.038	-
86.781	87.839	86.907	-	86.737	-	85.565	87.931	87.828	89.717	87.300	-	87.944	87.693	86.155	87.612	87.590	86.569	-	86.342	87.652	88.236	88.093	87.000	-	86.102	88.638	86.931	86.337	87.006	87.191	87.555	88.619	87.472	87.201	-	87.547	84.907	-	88.774	87.287	88.045	88.503	89.114	84.226	87.485	84.701	87.398	86.866	86.514	85.927	-	88.305	89.049	-
86.854	87.932	87.036	-	86.756	-	85.761	88.074	87.886	89.863	87.499	-	88.109	87.615	86.144	87.486	87.687	86.819	-	86.535	87.868	88.283	88.256	86.725	-	86.519	89.222	87.041	86.498	87.243	87.448	87.554	88.700	87.758	87.447	-	87.488	85.298	-	89.036	87.643	88.040	88.187	89.161	84.863	87.844	84.873	87.754	86.992	86.627	85.883	-	88.481	89.255	-
87.031	88.121	87.106	-	87.144	-	85.982	88.120	88.138	90.237	87.608	-	88.154	87.791	86.336	87.710	87.882	87.127	-	86.906	87.950	88.541	88.013	87.164	-	86.628	89.063	87.126	86.509	87.224	87.461	87.703	88.948	88.002	87.553	-	87.725	86.221	-	89.148	87.856	88.080	88.970	89.304	84.584	87.979	85.067	87.775	87.120	86.614	86.207	-	88.691	89.403	-
87.402	88.368	87.238	-	87.562	-	86.052	88.765	88.251	90.371	87.787	-	88.522	88.067	86.711	88.018	88.193	87.425	-	87.327	88.524	88.880	88.207	87.461	-	86.946	89.385	87.541	85.933	87.434	87.805	88.075	89.191	88.167	87.824	-	88.011	86.594	-	89.220	87.998	88.486	89.371	89.767	85.098	88.100	85.786	88.117	87.409	86.776	86.794	-	88.938	89.678	-
87.552	88.681	87.426	-	88.764	-	91.808	88.957	87.803	91.741	87.944	-	88.667	88.252	86.982	88.185	88.376	87.545	-	87.438	88.873	89.035	88.590	88.263	-	86.960	89.620	87.536	86.093	88.786	86.953	89.647	90.352	88.284	88.141	-	88.349	86.478	-	89.505	88.208	89.986	89.471	90.684	85.613	88.372	85.678	88.154	87.459	87.983	87.169	-	90.452	90.979	-
87.701	88.810	87.437	-	88.571	-	91.316	88.964	89.155	92.031	88.337	-	88.980	88.490	86.948	88.256	95.811	87.560	-	87.360	88.762	92.087	97.511	88.364	-	86.674	92.451	87.422	88.230	88.687	94.733	89.637	90.351	88.308	88.483	-	88.470	86.735	-	89.533	88.239	89.834	89.413	90.429	85.680	88.349	85.401	88.337	87.500	87.993	86.795	-	90.509	90.889	-
88.196	89.350	87.845	-	88.946	-	90.994	89.312	89.335	92.161	88.445	-	89.488	88.946	86.959	88.773	95.898	87.573	-	87.575	89.162	92.342	97.249	88.888	-	87.148	92.915	87.635	88.066	89.090	94.838	89.810	90.590	88.583	88.934	-	89.249	87.398	-	90.010	88.534	89.971	89.848	91.196	85.620	88.732	85.836	88.948	87.828	88.287	87.129	-	90.823	90.982	-
88.461	90.051	88.201	-	89.399	-	91.595	89.704	90.417	92.505	88.758	-	89.503	89.151	87.671	88.748	96.006	88.032	-	88.157	89.731	92.349	97.349	89.190	-	87.934	93.131	87.850	89.212	89.035	95.603	90.063	90.779	88.724	89.396	-	89.408	87.383	-	90.763	88.993	90.263	90.219	91.957	85.432	88.967	86.741	89.332	88.080	88.611	87.361	-	91.061	91.394	-
